run_id,model_size,method,seed,step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_s/testing,timing_s/save_checkpoint,gd2po_hard/conflict_ratio,gd2po_hard/keep_ratio
haotian_3b_dvao_s2_save10,3b,dvao,2,100,2.7735695598646997,0.975,1.7985695566982032,0.0,434672,447710,13038,441109,441110,441109.5,0.23786741495132446,0.001,0.05361537057906389,-0.029948194821675617,0.0001456308120395988,0.00018725557338257205,1.5620704144239426,0.41585083957047897,1e-06,2.8833088874816895,4.0,-3.0,0.95751953125,1.0,0.0,1.925789713859558,3.0,-3.0,0.0,0.0,0.0,2.857529640197754,3.9951283931732178,-3.0105576515197754,0.00132360914722085,0.05320250615477562,1.732050895690918,-1.7320510149002075,0.00132360914722085,1.732050895690918,-1.7320510149002075,114.7314453125,1016.0,42.0,0.0,746.810546875,2048.0,418.0,0.001953125,54.06584245400154,20.01550152298296,1.4531122879998293,73.89009008399444,250.13251207198482,0.000823555312229633,0.23009678875601797,0.011343839524530167,0.04187740803813704,12.050012099003652,88.557921900996,,
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,0,1.2337608203291892,0.1125,1.1212608203291894,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,1,,,,,467153,512646,45493,482989,482990,482989.75,9.26212960621342e-05,0.001,0.571371339487307,0.002337407945147292,0.0,0.0,56.44633102416992,0.3982735314898119,1e-06,-0.4095768332481384,4.0,-3.0,0.064453125,1.0,0.0,-0.4740299582481384,3.0,-3.0,0.0,0.0,0.0,-0.4095580577850342,4.000927448272705,-3.016223669052124,4.085363158878863e-09,0.9679021835327148,3.4391629695892334,-2.8161230087280273,4.085363158878863e-09,3.4391629695892334,-2.8161230087280273,175.07763671875,1024.0,18.0,0.01513671875,768.26171875,2048.0,418.0,0.0078125,68.58399998198729,21.51553771100589,1.4337555870006327,84.26064836498699,175.8982488780166,0.0007421252661162233,0.19127674938291128,0.011136643019342486,0.04361409758953839,,,0.0390625,0.9609375
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,2,,,,,465827,496997,31170,482412,482412,482412.0,2.409821900073439e-05,0.001,0.6160749979317188,0.02659378037787974,0.004906920985376928,0.0017511080563963333,32.2545804977417,0.4043519741789133,1e-06,-0.6668105125427246,4.0,-3.0,0.0546875,1.0,0.0,-0.7214980125427246,3.0,-3.0,0.0,0.0,0.0,-0.6667526960372925,4.001266956329346,-3.021430730819702,2.1545145667545285e-09,0.9762955904006958,3.475003242492676,-3.654801845550537,2.1545145667545285e-09,3.475003242492676,-3.654801845550537,172.90625,1024.0,19.0,0.0146484375,769.3046875,2048.0,399.0,0.0078125,65.52472366698203,21.284476673026802,1.3637207910069264,82.96687898001983,171.23295675599365,0.0007067199774295241,0.1850395458696176,0.011030237987978534,0.0429958619292326,,,0.0283203125,0.9716796875
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,3,,,,,467067,505926,38859,486741,486742,486741.5,-0.0003963213530369103,0.001,0.4461817876859145,0.03258634568897612,0.006512122017077424,0.00043791349426927894,37.12808012962341,0.4158718510500891,1e-06,-0.2104109823703766,4.0,-3.0,0.0830078125,1.0,0.0,-0.2934187948703766,3.0,-3.0,0.0,0.0,0.0,-0.2098574936389923,4.000670909881592,-3.0021910667419434,-5.213477205501249e-09,0.957397997379303,3.371814012527466,-3.46260929107666,-5.213477205501249e-09,3.371814012527466,-3.46260929107666,182.9248046875,1024.0,20.0,0.01708984375,767.7421875,2048.0,421.0,0.00390625,65.4373024860106,21.928341563994763,1.3855405609938316,81.4049507890013,170.25625526398653,0.0007116408612137201,0.17467181615463415,0.011262827170066022,0.04181118252142118,,,0.0478515625,0.9521484375
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,4,,,,,481007,509926,28919,496384,496385,496384.25,0.0022272670175880194,0.001,0.512472908012569,-0.04876579012488946,0.010327073177904822,-0.0006054911164596888,52.534122467041016,0.4177537451552284,1e-06,0.47338125109672546,4.0,-3.0,0.11474609375,1.0,0.0,0.3586350977420807,3.0,-3.0,0.0,0.0,0.0,0.4727461636066437,4.000293254852295,-3.1551265716552734,0.0,0.9537733793258667,3.536642074584961,-3.603672981262207,0.0,3.536642074584961,-3.603672981262207,182.68408203125,1024.0,18.0,0.01220703125,786.81640625,2048.0,414.0,0.001953125,63.071144376997836,22.15203456999734,1.4312154130020645,82.67632367301849,169.4341739230149,0.000720820318635243,0.16857767175392394,0.011156696938912415,0.041639276262803705,,,0.05908203125,0.94091796875
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,5,,,,,462073,513394,51321,480882,480883,480882.75,0.005461349152028561,0.001,0.48744579517480097,0.0017611009287506793,0.010309584064860686,0.004248026185092441,67.90023851394653,0.41115057668837496,1e-06,0.9029562473297119,4.0,-3.0,0.19921875,1.0,0.0,0.7037374377250671,3.0,-3.0,0.0,0.0,0.0,0.9031461477279663,4.000762939453125,-3.156339406967163,1.832597718021134e-08,0.9325768947601318,3.2728569507598877,-3.1584742069244385,1.832597718021134e-08,3.2728569507598877,-3.1584742069244385,182.13818359375,1024.0,24.0,0.01318359375,757.0859375,2048.0,422.0,0.001953125,64.03942330001155,21.205639010993764,1.4468154320202302,81.2552967229858,168.05315926900948,0.0007521664231146939,0.17167871690185096,0.01102432922110107,0.04224277993075537,,,0.07861328125,0.92138671875
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,6,,,,,481407,496091,14684,486474,486475,486474.25,0.009034210816025734,0.001,0.46225787326693535,0.03835370603337651,0.02055118136559031,0.01075666372449291,30.23038935661316,0.4173702100218536,1e-06,1.3018395900726318,4.0,-3.0,0.3173828125,1.0,0.0,0.9844568967819214,3.0,-3.0,0.0,0.0,0.0,1.3042875528335571,4.000973701477051,-3.0081686973571777,-8.314523292085596e-09,0.9239547848701477,3.3375492095947266,-3.2515957355499268,-8.314523292085596e-09,3.3375492095947266,-3.2515957355499268,186.38720703125,1024.0,20.0,0.01318359375,763.7578125,2047.0,393.0,0.0,63.41460992497741,21.2209988500108,1.4413291300006676,81.13289792599971,167.30694421299268,0.0007407016558433811,0.16612816671070602,0.010905509824009596,0.041694343496084176,,,0.08447265625,0.91552734375
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,7,,,,,457128,497762,40634,480409,480410,480409.25,0.015537329949438572,0.001,0.4487700741738081,-0.0025702575148898177,0.003742838991456665,0.002476309429084722,39.638675928115845,0.41600368432885215,1e-06,1.5408109426498413,4.0,-3.0,0.4501953125,1.0,0.0,1.0906156301498413,3.0,-3.0,0.0,0.0,0.0,1.544743299484253,4.151109218597412,-3.0092365741729736,9.474645068507925e-09,0.9277889728546143,3.2593045234680176,-3.159005641937256,9.474645068507925e-09,3.2593045234680176,-3.159005641937256,176.14697265625,1024.0,25.0,0.00927734375,762.15234375,2048.0,389.0,0.009765625,59.64200723299291,21.641139799990924,1.443757255008677,80.34352791699348,163.16839225500007,0.0007513163282184289,0.16532826766808198,0.011261825100157274,0.041809940127606554,,,0.0751953125,0.9248046875
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,8,,,,,457944,505511,47567,485508,485509,485508.75,0.029183119535446167,0.001,0.3951171079979223,-0.026821105184567654,0.00788775400553063,0.007233358129162619,43.08733642101288,0.40241526069889133,1e-06,1.832419991493225,4.0,-3.0,0.57763671875,1.0,0.0,1.254783272743225,3.0,-3.0,0.0,0.0,0.0,1.8353780508041382,4.590184688568115,-3.0152862071990967,1.0232394487275087e-08,0.9161142110824585,3.171241044998169,-3.0254857540130615,1.0232394487275087e-08,3.171241044998169,-3.0254857540130615,166.01513671875,1024.0,28.0,0.0087890625,782.244140625,2048.0,389.0,0.013671875,66.59737360000145,21.793430521007394,1.4146703759906814,83.94433670700528,173.8398660789826,0.0007284474152065649,0.19587520433884054,0.011221955588342844,0.043224935033099446,,,0.0693359375,0.9306640625
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,9,,,,,452616,494600,41984,474213,474214,474213.25,0.0371071957051754,0.001,0.38994823070243,-0.024663487682119012,0.0023583196780236904,0.0002446737532864063,76.68325757980347,0.41468134248705585,1e-06,1.9190832376480103,4.0,-3.0,0.6474609375,1.0,0.0,1.2716224193572998,3.0,-3.0,0.0,0.0,0.0,1.9229400157928467,4.767244338989258,-3.00913667678833,1.1394563514954825e-08,0.917640745639801,3.1882307529449463,-3.04661226272583,1.1394563514954825e-08,3.1882307529449463,-3.04661226272583,167.39111328125,1024.0,31.0,0.00927734375,758.806640625,2048.0,414.0,0.005859375,60.71182636500453,20.83892290998483,1.5724617110099643,79.46496962700621,162.6829760580149,0.0008289844869423009,0.17709689532609096,0.0109860505321102,0.04189305635545096,,,0.056640625,0.943359375
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,10,2.6101261246949434,0.9125,1.6976261217147113,0.0,458059,486873,28814,474259,474260,474259.25,0.045276522636413574,0.001,0.44698755629360676,0.010369113180786371,0.006988708631979534,0.0016451216282575842,9.734382331371307,0.4109071815963324,1e-06,2.0625410079956055,4.0,-3.0,0.69970703125,1.0,0.0,1.3628339767456055,3.0,-3.0,0.0,0.0,0.0,2.0649075508117676,4.762382507324219,-3.0188746452331543,-1.5246924833789421e-09,0.900230348110199,3.1569409370422363,-3.071070432662964,-1.5246924833789421e-09,3.1569409370422363,-3.071070432662964,156.37158203125,1024.0,22.0,0.0078125,769.916015625,1849.0,419.0,0.0,62.004882024019025,21.18405498302309,1.3809201210096944,80.22039004098042,211.09934372699354,0.0007279352595704219,0.19361459996446212,0.011166917136051162,0.04228720369765082,19.602340504003223,26.60707447299501,0.0615234375,0.9384765625
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,11,,,,,451139,463438,12299,455193,455194,455193.5,0.06235182657837868,0.001,0.4385370323434472,0.07799331305432133,0.002810414525811211,-0.0017377056812506453,20.77896159887314,0.39931569706529396,1e-06,2.26456356048584,4.0,-3.0,0.7939453125,1.0,0.0,1.4706182479858398,3.0,-3.0,0.0,0.0,0.0,2.2608306407928467,5.034924507141113,-3.024851083755493,-1.005956562494248e-08,0.9331324696540833,3.4611265659332275,-3.392676591873169,-1.005956562494248e-08,3.4611265659332275,-3.392676591873169,142.2041015625,1024.0,21.0,0.00390625,746.845703125,2048.0,402.0,0.00390625,62.904574388987385,20.109744666988263,1.3948334880114999,79.0045385339763,163.50182445600512,0.0007660662377711346,0.2159932370155524,0.011044613261716315,0.043390634166555704,,,0.0390625,0.9609375
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,12,,,,,452685,482616,29931,466709,466710,466709.5,0.06802244484424591,0.001,0.2987074861302972,-0.11706892549409531,0.0029721176106249914,0.00023398297480525798,28.004886984825134,0.41385945201313173,1e-06,2.3047072887420654,4.0,-3.0,0.84716796875,1.0,0.0,1.4575393199920654,3.0,-3.0,0.0,0.0,0.0,2.2979397773742676,4.000631332397461,-3.0230491161346436,-1.154945472592317e-08,0.9678990840911865,3.561791181564331,-3.5086898803710938,-1.154945472592317e-08,3.561791181564331,-3.5086898803710938,144.5029296875,1024.0,24.0,0.00439453125,767.0390625,2048.0,393.0,0.005859375,70.33547715900932,21.038040124985855,1.4104672209941782,78.28841517597903,171.17006068400224,0.0007555380922148457,0.2376664250393973,0.011269344273571598,0.04193637325572922,,,0.0166015625,0.9833984375
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,13,,,,,441785,472935,31150,459366,459366,459366.0,0.07588475197553635,0.001,0.3568962914869189,-0.03606770921032876,0.008413528345045052,0.0028436126677320317,5.960430443286896,0.40664675610876294,1e-06,2.3950321674346924,4.0,-3.0,0.865234375,1.0,0.0,1.5297977924346924,3.0,-3.0,0.0,0.0,0.0,2.3861632347106934,4.000824928283691,-3.0245888233184814,-9.674099743506304e-09,0.9766209721565247,3.9855597019195557,-3.9079370498657227,-9.674099743506304e-09,3.9855597019195557,-3.9079370498657227,141.708984375,1024.0,23.0,0.00341796875,755.490234375,2048.0,416.0,0.00390625,60.04583235498285,20.31019603597815,1.3967520839942154,78.33652563599753,160.20457161602098,0.0007601520813437517,0.2068976374990795,0.01105338446684025,0.04263295805305439,,,0.013671875,0.986328125
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,14,,,,,454370,475370,21000,466251,466252,466251.25,0.08022677153348923,0.001,0.2852829988114536,-0.052299809357464255,0.0022439002350438386,0.00010601216399663826,3.9734522700309753,0.4118674092594483,1e-06,2.37165904045105,4.0,-3.0,0.8701171875,1.0,0.0,1.501542091369629,3.0,-3.0,0.0,0.0,0.0,2.361064910888672,4.001707553863525,-3.027747392654419,-3.465875808572605e-09,0.9813533425331116,2.823512315750122,-4.18291711807251,-3.465875808572605e-09,2.823512315750122,-4.18291711807251,137.58056640625,1024.0,20.0,0.001953125,773.06640625,2034.0,399.0,0.0,58.52557268200326,20.667857223015744,1.438517219008645,78.55902635699022,159.28181569700246,0.0007713208377503788,0.20771058393343125,0.01108193126721684,0.04212268940672557,,,0.0087890625,0.9912109375
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,15,,,,,443081,477387,34306,459046,459046,459046.0,0.0830921083688736,0.001,0.30527748552060896,-0.018448296333512953,0.0027344453208629164,0.00013893335070010396,3.769078254699707,0.4108700749649772,1e-06,2.4911715984344482,4.0,-3.0,0.86669921875,1.0,0.0,1.6244723796844482,3.0,-3.0,0.0,0.0,0.0,2.48056697845459,4.001302719116211,-3.0259017944335938,-1.318215980816717e-09,0.986386239528656,2.7758357524871826,-4.3068718910217285,-1.318215980816717e-09,2.7758357524871826,-4.3068718910217285,135.6484375,1024.0,24.0,0.00146484375,760.92578125,2048.0,402.0,0.005859375,58.61378315699403,21.1159866139933,1.4168769259995315,77.57938807399478,159.061544332013,0.0007716421262790284,0.21098666401613356,0.011499929535380605,0.042250334429444314,,,0.00732421875,0.99267578125
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,16,,,,,454246,478735,24489,461834,461835,461834.5,0.08406621962785721,0.001,0.2423256803303957,-0.023525645141489804,0.0024337692575500114,0.00021157638866498019,3.434519946575165,0.4102091434175192,1e-06,2.489854097366333,4.0,-3.0,0.91748046875,1.0,0.0,1.572373390197754,3.0,-3.0,0.0,0.0,0.0,2.478602409362793,4.000663757324219,-3.0305771827697754,-1.754324907565774e-09,0.9972551465034485,4.285601615905762,-4.248301982879639,-1.754324907565774e-09,4.285601615905762,-4.248301982879639,135.9033203125,1024.0,24.0,0.00146484375,766.1171875,2048.0,426.0,0.00390625,59.65708734100917,20.476373646000866,1.6596618900075555,78.092038081988,159.99144480697578,0.0008984072703574308,0.21433940768515494,0.011084259429514721,0.04227273952140215,,,0.00244140625,0.99755859375
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,17,,,,,446075,476262,30187,461598,461598,461598.0,0.08930112421512604,0.001,0.2699921602203,0.018919402404853534,0.0022323133100965813,-7.724217149159578e-05,3.247219204902649,0.416894705408139,1e-06,2.5362606048583984,4.0,-3.0,0.88427734375,1.0,0.0,1.6519832611083984,3.0,-3.0,0.0,0.0,0.0,2.5250649452209473,4.003211975097656,-3.0291552543640137,8.923921157588666e-09,0.9916513562202454,4.458808422088623,-4.759410381317139,8.923921157588666e-09,4.458808422088623,-4.759410381317139,133.583984375,1024.0,20.0,0.00146484375,767.974609375,2048.0,399.0,0.00390625,55.73766220599646,20.989895658014575,1.3721831490111072,76.91607026799466,155.11011171201244,0.0007431700034505712,0.2037344184735597,0.011368060334974683,0.04165749757797621,,,0.00390625,0.99609375
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,18,,,,,456919,495471,38552,477115,477116,477115.75,0.09653512388467789,0.001,0.28966705640777946,0.05065654621284921,0.0022254477225942537,0.0002290142899141756,4.98628157377243,0.4083138849882518,1e-06,2.497061014175415,4.0,-3.0,0.88818359375,1.0,0.0,1.6088776588439941,3.0,-3.0,0.0,0.0,0.0,2.4845852851867676,4.002521514892578,-3.0247695446014404,8.277552532298671e-10,0.9880347847938538,3.395768880844116,-5.059632778167725,8.277552532298671e-10,3.395768880844116,-5.059632778167725,144.01513671875,1024.0,32.0,0.0029296875,787.8515625,2048.0,418.0,0.00390625,59.56815463499515,21.117935485992348,1.4391434339922853,81.20102992400643,163.42673629100318,0.0007540850590198947,0.2019649716555238,0.01106541519850914,0.04254786701340631,,,0.0068359375,0.9931640625
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,19,,,,,452701,471338,18637,461974,461975,461974.75,0.09559379518032074,0.001,0.2502396125346422,-0.11962616423261352,0.0019121147433907026,7.910777679853709e-05,3.4483829140663147,0.4172653242095304,1e-06,2.482074737548828,4.0,-3.0,0.90478515625,1.0,0.0,1.5772894620895386,3.0,-3.0,0.0,0.0,0.0,2.4698193073272705,4.001073837280273,-3.0185959339141846,-1.8620511355038616e-08,0.996974527835846,4.843042373657227,-4.775426387786865,-1.8620511355038616e-08,4.843042373657227,-4.775426387786865,134.44287109375,1024.0,44.0,0.0009765625,767.8515625,2048.0,393.0,0.005859375,56.54664475901518,21.211111619020812,1.3563715670024976,76.82318442501128,156.0284286510141,0.000734007414367613,0.20537099633184977,0.01147850159506597,0.041573259374571486,,,0.0029296875,0.9970703125
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,20,2.6442780181765557,0.95,1.6942780155688524,0.0,444539,459201,14662,453474,453474,453474.0,0.10362907499074936,0.001,0.2662945774293715,0.0932967769763162,0.0020439089688983176,0.00018033516929819832,3.167536973953247,0.40977282414949656,1e-06,2.601848602294922,4.0,-3.0,0.91796875,1.0,0.0,1.6838798522949219,3.0,-3.0,0.0,0.0,0.0,2.5892250537872314,4.000548362731934,-3.0374608039855957,3.652284696897823e-09,0.9963984489440918,2.510312795639038,-4.805842876434326,3.652284696897823e-09,2.510312795639038,-4.805842876434326,130.55859375,1024.0,35.0,0.00146484375,755.1328125,2048.0,389.0,0.005859375,56.107075064996025,20.064321523008402,1.4154548139777035,76.8676318860089,196.44080622598995,0.0007803395641082529,0.20983706977603755,0.011061450889691803,0.0423770888110503,15.527126745990245,26.34221374199842,0.00244140625,0.99755859375
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,21,,,,,443087,470594,27507,455378,455379,455378.5,0.10124446451663971,0.001,0.252044050488621,0.059208899350778665,0.0028690434228337836,0.0002244147494820936,3.052862763404846,0.40377603053347405,1e-06,2.6324117183685303,4.0,-3.0,0.9306640625,1.0,0.0,1.7017478942871094,3.0,-3.0,0.0,0.0,0.0,2.6198039054870605,4.0021586418151855,-3.0300259590148926,1.2566708562644635e-08,0.9897900223731995,3.3643112182617188,-5.071689605712891,1.2566708562644635e-08,3.3643112182617188,-5.071689605712891,132.8056640625,1024.0,33.0,0.00048828125,756.60546875,2048.0,416.0,0.00390625,66.77675166897825,20.65023241599556,1.9258719100034796,78.16132222898887,167.63628383300966,0.0010572918517252569,0.24551540031096544,0.01133685078236871,0.04291008591149388,,,0.00341796875,0.99658203125
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,22,,,,,445536,477852,32316,462510,462511,462510.5,0.10096250474452972,0.001,0.21798527520149946,0.07764846881036647,0.002113811769959284,0.0001344430742875602,3.0117478370666504,0.40974944865124013,1e-06,2.680837392807007,4.0,-3.0,0.92919921875,1.0,0.0,1.751638412475586,3.0,-3.0,0.0,0.0,0.0,2.668118476867676,4.002086639404297,-3.0358734130859375,-1.4155438599061654e-08,0.9971299767494202,5.657444477081299,-5.620856761932373,-1.4155438599061654e-08,5.657444477081299,-5.620856761932373,134.7431640625,1024.0,25.0,0.001953125,768.59765625,2048.0,419.0,0.005859375,61.266940900008194,20.467734839010518,1.4484531449852511,78.33814995500143,161.62821650799015,0.0007829298713138681,0.2220186730397392,0.011063389284681384,0.0423439845987288,,,0.00341796875,0.99658203125
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,23,,,,,459356,482212,22856,471623,471623,471623.0,0.10811523348093033,0.001,0.22871019272133708,0.004586849710904062,0.0016376315916204476,0.00023662944215629977,3.815502643585205,0.41427244955711434,1e-06,2.6746225357055664,4.0,-3.0,0.93603515625,1.0,0.0,1.7385876178741455,3.0,-3.0,0.0,0.0,0.0,2.660928726196289,4.003657817840576,-3.029228448867798,-7.169454807609554e-09,0.9925611615180969,5.095065593719482,-5.084289073944092,-7.169454807609554e-09,5.095065593719482,-5.084289073944092,136.13671875,1024.0,31.0,0.00146484375,785.001953125,2048.0,422.0,0.001953125,61.18503133399645,20.876610416016774,1.4490587479958776,79.06719909299864,162.682835368003,0.0007681234524163779,0.21945220845168162,0.011066365728567508,0.04191228963229032,,,0.0068359375,0.9931640625
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,24,,,,,443885,461425,17540,451679,451680,451679.75,0.1108841598033905,0.001,0.19588901727430283,-0.014495603830343293,0.001992986068099497,0.0003121039020873967,2.932200789451599,0.41270524911835466,1e-06,2.662255048751831,4.0,-3.0,0.93017578125,1.0,0.0,1.7320796251296997,3.0,-3.0,0.0,0.0,0.0,2.6488418579101562,3.9999308586120605,-3.0127665996551514,9.31653065805449e-09,0.9964090585708618,3.6341021060943604,-5.4327778816223145,9.31653065805449e-09,3.6341021060943604,-5.4327778816223145,127.95458984375,1024.0,36.0,0.0009765625,754.232421875,2048.0,389.0,0.001953125,55.22421949100681,19.879412362002768,1.396986592997564,75.91750728900661,152.51265238400083,0.0007732174139960691,0.21073844210099105,0.011003046053095565,0.042019543320796764,,,0.0029296875,0.9970703125
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,25,,,,,441593,460985,19392,450730,450731,450730.5,0.11535689234733582,0.001,0.19565334071715673,0.003547231418391069,0.0022342839588721593,-9.74666903251394e-05,3.558154344558716,0.41233044391865764,1e-06,2.7660024166107178,4.0,-3.0,0.931640625,1.0,0.0,1.8343615531921387,3.0,-3.0,0.0,0.0,0.0,2.7523841857910156,4.003313064575195,-3.011303424835205,1.708405328315621e-08,0.9892857670783997,3.6324808597564697,-5.429085731506348,1.708405328315621e-08,3.6324808597564697,-5.429085731506348,125.6005859375,1024.0,30.0,0.00146484375,754.732421875,2048.0,393.0,0.0078125,54.678427751001436,20.03457198399701,1.3798689479881432,75.89373584301211,152.07913186299265,0.0007653514394899742,0.21256629378766642,0.01111227883624306,0.042094852602060494,,,0.005859375,0.994140625
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,26,,,,,437417,472399,34982,457826,457827,457826.75,0.11581853777170181,0.001,0.17471323208883405,0.0004382631304906681,0.0023353387441602536,0.00025413204889446206,52.197533905506134,0.40608689958142674,1e-06,2.7336134910583496,4.0,-3.0,0.947265625,1.0,0.0,1.7863481044769287,3.0,-3.0,0.0,0.0,0.0,2.722757339477539,6.260115623474121,-3.0230965614318848,-1.7089568871142546e-08,0.9968500137329102,3.408294439315796,-5.1109938621521,-1.7089568871142546e-08,3.408294439315796,-5.1109938621521,125.56005859375,1024.0,26.0,0.00146484375,768.6328125,2048.0,402.0,0.00390625,56.182717882998986,20.066159074020106,1.383844013005728,78.13069297399488,155.86677415799932,0.0007556592166172727,0.2184848272894453,0.010957288468847717,0.042663896863821785,,,0.00244140625,0.99755859375
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,27,,,,,435840,462908,27068,450177,450178,450177.75,0.12826257944107056,0.001,0.1895174624458436,-0.04612326552911151,0.0024115839830389425,0.00019422177184981506,2.9487305879592896,0.4128021933124535,1e-06,2.6021859645843506,4.0,-3.0,0.927734375,1.0,0.0,1.674451470375061,3.0,-3.0,0.0,0.0,0.0,2.587313652038574,4.002277374267578,-3.018659830093384,-8.652321525914886e-09,0.9999998211860657,3.0658884048461914,-5.2937541007995605,-8.652321525914886e-09,3.0658884048461914,-5.2937541007995605,123.99951171875,1024.0,37.0,0.001953125,755.25390625,2048.0,399.0,0.00390625,58.7346309919958,19.77846444500028,1.386667226004647,75.62796462498954,155.6319842680241,0.0007700665048442794,0.23128332234169505,0.0109836972423672,0.04199894631897597,,,0.0,1.0
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,28,,,,,431091,488999,57908,458675,458675,458675.0,0.122266486287117,0.001,0.22323625222329171,0.013158141995870298,0.003742400500472755,8.154326778528611e-05,58.050278306007385,0.40066525620687476,1e-06,2.532041549682617,4.0,-3.0,0.92919921875,1.0,0.0,1.602842092514038,3.0,-3.0,0.0,0.0,0.0,2.521775722503662,12.28488540649414,-3.0150091648101807,-3.138445592298922e-08,0.9930270314216614,5.265750408172607,-5.221621990203857,-3.138445592298922e-08,5.265750408172607,-5.221621990203857,125.345703125,1024.0,30.0,0.00048828125,770.50390625,2048.0,407.0,0.005859375,53.135263789998135,20.16481147700688,1.362844211020274,79.41781637701206,154.18008841000847,0.0007428158342073768,0.20698717527306565,0.010990794940320967,0.04328654078433099,,,0.005859375,0.994140625
haotian_3b_gd2po_hard_s1_save10,3b,gd2po_hard,1,29,,,,,431133,486526,55393,456231,456232,456231.5,0.13321241736412048,0.001,0.18270438092370186,-0.008805565941598146,0.0021008666371926665,0.00018342999946100697,3.521206557750702,0.41293798536127785,1e-06,2.7546777725219727,4.0,-3.0,0.9384765625,1.0,0.0,1.8162009716033936,3.0,-3.0,0.0,0.0,0.0,2.7393200397491455,4.002649307250977,-3.0336639881134033,-1.3083113481471287e-09,0.9969899654388428,2.8601531982421875,-5.523134708404541,-1.3083113481471287e-09,2.8601531982421875,-5.523134708404541,121.0146484375,1015.0,35.0,0.0,770.0625,2048.0,407.0,0.00390625,58.49328129302012,20.030261733016232,1.366383501997916,76.66114317701431,156.65350300900172,0.0007487336483769293,0.2360141757640883,0.010975930932550816,0.04200780918076366,,,0.001953125,0.998046875
